name,sets,reps,rest_period_seconds,notes
Cassava Grating Motion,3,1-2 minutes,45,Back and forth grating movement; arm and core coordination
Plantain Harvesting Reach,3,10-15 each arm,60,Overhead reaching motion; shoulder mobility and strength
Mango Picking Stretch,3,8-12 each side,45,Side reach and stretch; lateral flexibility and core
Groundnut Shelling Motion,3,2-3 minutes,30,Fine motor coordination exercise; hand dexterity
Corn Grinding Simulation,3,2-3 minutes,75,Traditional grinding stone motion; full body coordination
Fufu Pounding,4,2-3 minutes,90,Traditional pounding motion; explosive arm and core power
Banku Kneading,3,3-4 minutes,75,Dough kneading simulation; forearm and hand strength
Kenkey Wrapping Motion,3,15-20,45,Folding and wrapping movements; hand coordination
Jollof Rice Stirring,3,2-3 minutes,60,Circular stirring with resistance; arm endurance
Pepper Grinding Motion,3,1-2 minutes,45,Traditional stone grinding; rotational strength
Plantain Chip Slicing,3,20-30 motions,30,Precise cutting simulation; hand-eye coordination
Ginger Processing Motion,3,1-2 minutes,45,Pounding and grinding simulation; arm strength
Traditional Basket Weaving,1,15-20 minutes,0,Hand weaving motions; fine motor skills and patience
Clay Pot Forming,3,3-5 minutes,75,Circular shaping motions; hand and forearm strength
Bead Making Precision,1,10-15 minutes,0,Fine motor coordination; hand dexterity and focus
Kente Strip Preparation,3,2-3 minutes,45,Threading and organizing motions; hand coordination
Traditional Soap Making,3,2-3 minutes,60,Mixing and molding motions; grip and forearm strength
Charcoal Making Simulation,3,15-20,90,Stacking and arranging motions; functional movement
Fire Wood Chopping,3,10-15,90,Axe chopping simulation; explosive core and arm power
Water Drawing Motion,3,12-15,75,Rope pulling simulation; pulling strength and coordination
Traditional Laundry Motion,3,2-3 minutes,60,Washing and wringing simulation; grip and arm strength
Mortar Cleaning Motion,3,1-2 minutes,45,Circular scrubbing motion; arm endurance
Calabash Carving Motion,3,2-3 minutes,60,Precise carving simulation; hand control and strength
Traditional Broom Making,3,3-4 minutes,75,Bundling and tying motions; grip strength
Mat Weaving Motion,1,15-20 minutes,0,Floor weaving position; flexibility and hand coordination
Traditional Shoe Repair,3,2-3 minutes,45,Hammering and stitching motions; hand-eye coordination
Akpeteshie Distillation,3,1-2 minutes,60,Stirring and monitoring motions; sustained attention and movement
Traditional Medicine Grinding,3,2-3 minutes,75,Herbal grinding motions; rotational strength
Battle Ropes Alternative,3,30-45 seconds,75,Use heavy rope or cloth; wave motions for cardio
Tire Flips,3,5-8,120,Flip large tire; explosive full body power
Sandbag Carries,3,20-30 meters,90,Carry heavy bag; functional strength training
Log Lifts,3,6-10,90,Lift and carry logs; natural strength training
Rock Throws,3,8-12,75,Throw rocks for distance; explosive power development
Stick Fighting Patterns,3,2-3 minutes,90,Traditional martial arts movements; coordination and agility
Warrior Crawl,3,10-15 meters,75,Military-style crawl; full body endurance
Spear Throwing Motion,3,10-15,90,Traditional hunting motion; rotational power and accuracy
Shield Defense Stance,3,1-2 minutes,90,Defensive posture hold; isometric strength
Traditional Hunting Crouch,3,45-60 seconds,75,Low hunting position; leg endurance and stealth
River Crossing Simulation,3,10-15 steps,60,Balance beam or log walking; balance and coordination
Tree Branch Swinging,3,8-12,90,Pull-up bar swinging; grip and shoulder strength
Cliff Climbing Motion,3,10-15,90,Vertical pulling movements; upper body power
Bush Path Running,4,30-60 seconds,90,Agility running through obstacles; quick feet and reactions
Elephant Grass Cutting,3,15-20,60,Machete swinging simulation; core rotation and arm strength
Wild Animal Evasion,3,5-8 movements,75,Quick dodging patterns; agility and reaction time
Traditional Fishing Cast,3,12-15,60,Net or line casting motion; coordination and timing
Beehive Inspection Reach,3,10-12 each arm,60,Overhead reaching with control; shoulder stability
Bird Watching Posture,1,10-15 minutes,0,Still observation position; postural endurance and mindfulness
Traditional Rain Dance,3,4-6 minutes,90,Cultural dance for weather; rhythmic full body movement
Harvest Celebration Dance,3,5-7 minutes,90,Festive dance movements; cardio and cultural expression
War Dance Training,3,3-5 minutes,90,Warrior dance patterns; aggressive movement and conditioning
Coming of Age Dance,3,4-6 minutes,75,Traditional rite of passage dance; endurance and coordination
Wedding Dance Performance,3,5-8 minutes,90,Celebratory dance movements; joyful cardio workout
Funeral Dance Tribute,2,6-8 minutes,120,Solemn respectful movements; controlled movement and reflection
Drumming Circle Workout,4,5-10 minutes,90,Group drumming session; coordination and community fitness
Traditional Storytelling Gestures,2,8-12 minutes,90,Animated storytelling movements; expression and light cardio
Elder Wisdom Walk,1,20-30 minutes,0,Slow contemplative walking; mindful movement and reflection
Youth Energy Dance,4,3-5 minutes,75,High energy youth movements; explosive cardio
Ancestral Spirit Dance,3,6-8 minutes,90,Spiritual dance movements; meditative movement
Community Work Song Rhythm,3,4-6 minutes,75,Work song movements; rhythmic coordination
Traditional Healing Dance,2,8-12 minutes,120,Therapeutic movement patterns; gentle healing exercise
Market Day Hustle Simulation,3,2-4 minutes,75,Quick market movements; agility and endurance
Festival Preparation Dance,3,5-7 minutes,90,Preparation dance movements; anticipatory energy
Royal Court Dance,2,6-8 minutes,90,Formal court movements; controlled elegant exercise
Hunter Return Dance,3,4-6 minutes,90,Victory celebration movements; triumphant cardio
Fisherman's Net Dance,3,3-5 minutes,75,Net casting dance; coordinated group movement
Farmer's Blessing Dance,3,4-6 minutes,90,Agricultural blessing movements; seasonal celebration
Traditional Courtship Dance,3,5-7 minutes,75,Romantic dance patterns; graceful coordinated movement
Chief Installation Dance,2,8-10 minutes,120,Ceremonial installation movements; formal rhythmic exercise
Traditional Competition Games,4,10-15 minutes,120,Various traditional games; competitive fitness training
Village Olympics Training,4,5-8 exercises,90,Multi-event traditional sports; comprehensive fitness
Ancestral Martial Arts,3,3-5 minutes,90,Traditional fighting techniques; self-defense conditioning
Traditional Acrobatics,3,5-8 movements,120,Cultural acrobatic movements; advanced coordination
Community Circle Dancing,4,6-10 minutes,75,Group circle dance; social cardio workout
Traditional Flexibility Ritual,1,15-25 minutes,0,Cultural stretching ceremony; flexibility and mindfulness
Seasonal Work Simulation,3,5-8 minutes,90,Different seasonal activities; varied functional movement
Traditional Sports Medley,4,8-12 minutes,90,Combination of traditional sports; comprehensive training
Cultural Fitness Circuit,4,3-5 minutes,75,Circuit of cultural movements; high-intensity cultural workout
Traditional Endurance Challenge,1,20-45 minutes,0,Extended traditional activity; endurance and mental toughness
